altitude	pente	distance_horizontale_hydro	distance_verticale_hydro	distance_horizontale_route	ombrage_0900	ombrage_1200	ombrage_1500	distance_horizontale_depart_feu	zone_A
2959	14	313	20	5886	232	244	140	3425	1
3060	12	497	29	6682	240	223	111	2678	1
2705	16	67	24	1900	183	216	170	6384	1
2985	9	192	26	5753	212	223	147	3666	1
3054	10	247	17	6602	221	218	131	2876	1
2820	26	95	22	4589	241	231	101	4868	1
2528	6	150	9	1134	231	234	136	4944	1
3001	10	67	10	6101	199	225	165	3376	1
2942	6	255	59	5490	230	233	136	4002	1
2729	7	385	40	1947	206	229	161	5992	1
2814	12	564	36	3192	218	214	132	6421	1
3109	11	150	16	7049	233	218	115	2496	1
2863	29	128	65	5042	250	213	68	4555	1
2896	16	60	13	5312	174	227	192	4302	1
2771	6	120	13	2624	207	245	176	6244	1
2558	19	95	28	1455	246	229	104	4643	1
2883	26	108	-11	5423	246	185	52	4307	1
3064	20	60	17	6804	249	210	80	3034	1
3018	14	42	10	6432	193	215	160	3395	1
2913	28	170	-7	5485	248	183	44	4319	1
2625	7	153	43	1613	224	244	154	4759	1
2795	17	60	7	3174	238	239	124	6439	1
3037	4	216	10	6515	226	233	141	3465	1
2783	4	217	33	2873	226	234	143	5866	1
3093	9	459	-14	6367	225	245	153	2721	1
3011	11	180	-1	5352	234	241	138	1860	1
3008	12	430	70	6223	226	214	120	3867	1
2798	7	218	7	3069	231	231	133	5952	1
2578	7	390	28	1214	222	225	138	4094	1
3014	10	484	75	6290	210	218	144	3829	1
2590	10	420	21	1290	221	218	131	4127	1
3191	6	235	19	4593	222	227	140	1443	1
2919	11	234	37	4468	238	223	114	5695	1
3191	7	247	19	4562	209	228	157	1530	1
3009	12	255	43	5625	220	249	161	2107	1
2863	10	228	23	3798	212	219	144	6354	1
3048	30	109	49	5113	186	163	99	2160	1
3012	3	124	16	5690	213	242	166	2456	1
3037	13	162	0	5741	215	251	169	2639	1
3050	12	755	16	6198	226	246	152	3492	1
2909	8	258	39	4169	226	224	132	6268	1
2777	7	162	10	2989	226	226	134	5310	1
3047	10	684	121	5822	227	245	150	3108	1
3073	8	497	206	6263	233	232	130	3847	1
2751	11	108	22	2893	237	223	117	4976	1
3155	12	616	114	4510	204	218	150	2012	1
2724	9	30	-3	2738	225	220	130	4821	1
2945	10	30	3	5395	199	248	187	2581	1
2784	10	108	27	3091	233	220	119	5019	1
2945	10	384	36	4501	230	221	124	6269	1
2969	17	242	42	5408	207	253	177	3196	1
3014	19	420	147	5943	249	219	91	4122	1
2982	11	430	63	4777	223	216	126	6158	1
3247	6	779	56	3746	212	229	154	2460	1
2929	30	90	43	6170	131	237	236	4784	1
2941	6	297	74	3648	208	231	162	5261	1
2682	19	85	32	1072	186	204	153	3131	1
2661	20	278	69	859	216	193	105	2958	1
3124	24	255	33	4725	217	181	87	3189	1
3008	14	421	122	6128	208	252	178	5136	1
2926	12	134	30	3842	230	215	115	5092	1
3198	6	85	7	4100	211	228	155	3464	1
2955	10	60	10	4754	192	233	182	5958	1
2978	11	300	6	5172	225	215	124	6350	1
3083	17	698	167	4365	238	205	92	3940	1
2922	13	313	13	5728	214	251	169	5369	1
2749	10	492	46	1489	231	220	120	2816	1
3070	21	674	157	4390	213	188	101	4022	1
2972	8	371	47	4163	227	223	131	5332	1
3027	20	542	111	4455	232	194	86	4200	1
2965	4	242	54	4063	226	234	144	5199	1
2965	16	272	57	4585	225	203	108	4436	1
2979	7	726	85	6065	202	244	181	6054	1
2979	12	124	16	4810	187	237	189	5889	1
2998	3	180	26	5166	218	232	151	6229	1
2982	8	258	60	4213	232	238	138	5276	1
3126	13	630	-47	4106	216	210	128	4242	1
2932	8	95	15	3814	198	236	179	4820	1
3126	16	618	-37	4187	215	205	121	4370	1
2885	15	150	27	3266	240	213	100	4242	1
3001	11	175	23	4945	195	227	171	5930	1
2932	7	30	3	4137	232	236	137	5073	1
3244	7	444	23	3577	211	226	152	3950	1
3031	11	450	59	5411	228	216	120	6337	1
2939	20	270	36	4536	200	194	124	4977	1
2942	7	108	13	4056	200	235	175	4934	1
2834	10	201	33	2017	191	234	183	2804	1
3037	11	531	134	4211	239	231	121	4790	1
2644	7	309	19	1057	204	230	165	1500	1
3027	8	474	52	4177	232	225	127	4857	1
2929	1	242	16	3757	217	239	159	4518	1
2738	18	525	-8	1530	221	198	105	2115	1
2829	13	268	19	1931	236	240	131	2379	1
3162	8	60	-8	3499	229	242	145	4723	1
3139	5	175	23	3740	223	230	142	4941	1
2942	18	457	49	5776	181	251	206	6226	1
2965	11	488	0	4670	227	217	122	5254	1
3159	11	120	-4	3369	239	228	119	4920	1
2957	6	558	44	4006	231	234	136	4507	1
2836	11	171	23	2470	238	227	119	2750	1
3106	10	95	6	3447	229	244	147	5152	1
2727	14	30	0	1766	231	209	107	1532	1
2968	10	201	0	4073	237	234	126	5615	1
3034	5	726	69	5574	224	228	141	5569	1
3042	2	716	50	5651	223	238	151	5474	1
2869	16	120	20	3116	240	236	121	3196	1
3038	14	201	3	3481	239	214	102	5724	1
3041	6	658	50	5755	205	233	167	5327	1
2903	2	175	-5	5347	215	239	162	5717	1
3011	5	300	23	5405	223	229	141	5133	1
3024	11	175	13	3500	239	230	119	5855	1
2781	8	240	23	2312	213	248	170	1660	1
3024	20	90	13	3394	224	247	146	5873	1
2932	6	362	36	5501	203	240	176	5483	1
2777	7	95	19	2470	231	237	138	1757	1
2924	5	30	-2	4492	227	232	139	4595	1
2855	7	278	3	3120	227	242	148	2858	1
2912	7	30	3	4353	217	225	145	4414	1
2725	14	134	23	1774	229	246	146	1006	1
2906	5	150	10	5286	211	244	171	5486	1
3001	4	240	19	5155	213	233	158	4631	1
2735	4	30	0	2178	225	239	149	1380	1
3021	15	120	30	5515	226	207	111	4685	1
3009	15	30	7	5464	239	214	102	4593	1
2889	5	390	9	3799	208	233	164	3482	1
2965	8	270	10	3308	223	222	135	6445	1
2511	4	30	0	390	227	236	144	484	1
3015	11	350	46	3069	227	218	123	6473	1
3031	13	134	27	5449	182	234	192	4380	1
2669	23	234	20	1470	244	231	104	738	1
2906	4	424	47	3949	226	236	145	3416	1
2913	6	235	47	4138	209	245	174	3606	1
2952	7	256	13	3518	205	232	166	6091	1
2716	12	247	77	2048	219	249	162	1490	1
2962	7	335	10	3448	214	225	147	6060	1
2959	7	495	44	3616	214	226	148	5736	1
2952	10	350	37	3761	234	221	118	5557	1
2871	19	95	15	4189	226	196	97	3421	1
2913	10	268	7	4747	215	219	140	4752	1
2636	14	108	19	1571	196	214	156	1379	1
3004	15	417	29	3164	230	208	108	5916	1
3022	15	108	29	5049	245	224	104	3379	1
2982	9	443	3	3491	201	228	166	5602	1
3024	7	240	33	2947	201	234	173	6061	1
2734	5	270	59	1979	213	230	155	1963	1
2784	14	212	49	2673	201	213	146	2594	1
2744	2	390	76	1761	222	235	149	1846	1
2919	4	390	0	4302	210	238	167	4756	1
2782	16	361	82	2270	202	206	139	2334	1
2852	14	0	0	3997	212	208	130	2851	1
2960	11	362	48	4742	239	232	122	2816	1
2589	15	192	58	228	236	240	130	1630	1
2588	11	190	47	306	238	233	125	1652	1
2743	10	255	27	1560	237	229	122	2072	1
2690	12	210	0	1022	237	237	130	1879	1
2972	10	446	0	3986	207	220	151	4669	1
2651	16	182	0	726	246	225	102	1830	1
2972	11	309	78	4053	192	227	174	2460	1
3078	18	182	9	3349	193	203	146	5168	1
2791	4	170	18	2140	226	232	142	2591	1
2719	4	108	3	1489	224	232	144	2229	1
2769	24	150	11	1842	202	253	175	2529	1
